代碼,商品,漲幅%,產業地位,細產業,股本,市值
2887,台新新光金,-1.47,以消費金融業務為主體之台灣金控公司,金控,2486.64,5831.2
2889,國票金,0.68,台灣唯一以票券業務為主體之金控公司,金控,363.36,536
2890,永豐金,-1.29,以銀行為主體的的大型金控，旗下另有證券、投信業務,金控,1449.23,4434.7
2891,中信金,-1.95,台灣資產規模前四大金控公司，旗下中信銀為最大信用卡發卡銀行,金控,1967.78,10881.8
2892,第一金,0.17,台灣前三大官股金控公司，旗下銀行為業界歷史悠久的三商銀之一,金控,1437.95,4249.1
2897,王道銀行,0.99,前身為台灣工業銀行，台灣第一家數位銀行,銀行,280.54,287.5
5876,上海商銀,2.44,唯一自大陸遷台復業的民營銀行,銀行,486.16,1937.3
5880,合庫金,-0.22,具有國營背景的金控公司，金融資產規模排名前六大,金控,1568.09,3606.6
6005,群益證,5.56,台灣證券經紀市佔排名前五大之獨立券商,證券,217.09,700.1
6024,群益期,0,群益金融集團旗下的期貨公司，台灣市場排名前三大,期貨,24.99,145.5
5864,致和證,5.16,總部位於台南之券商,證券,45.45,166.8
5878,台名,-0.12,台灣前三大之保險經紀公司,保險經紀,2.5,10.2
6015,宏遠證,4.64,三商壽轉投資的中小型券商,證券,39.32,66.4
6016,康和證,9.82,台灣綜合型證券商，其中期貨業務市占排名前十大,證券,68.66,165.1
6020,大展證,9.84,以大台北地區為營運的區域型券商,證券,25.24,59.2
6021,美好證,1.29,台灣一家綜合型券商,證券,31.22,110.6
6023,元大期,-0.5,台灣期貨龍頭企業，屬元大集團,期貨,32,318.4
6026,福邦證,-1.19,台灣小型綜合型上券商，以承銷及資產管理為重心,證券,39.62,65.8
6028,公勝保經,4.07,台灣首批成立的保險經紀公司,保險經紀,2.5,20.5
2601,益航,1.22,從事散裝航運，在大陸持有大洋百貨,百貨業,82.48,41
2901,欣欣,-0.85,位於台北市中山區精華地段之百貨業者，退撫會為最大股東,百貨業,7.3,17.1
2903,遠百,0.45,隸屬遠東集團，合併SOGO百貨成為台灣百貨業龍頭,百貨業,141.69,315.3
2905,三商,-2.2,轉投資子公司業務包含壽險、零售、餐飲、資訊服務、製藥等,控股公司,111.04,148.2
2906,高林,-0.4,為國內知名貿易商，並代理G2000等多項品牌服飾,貿易,20.91,25.8
2908,特力,0.24,海內外家居用品貿易商，擁有特力屋、HOLA零售品牌,家居相關用品通路,50.99,106.8
2910,統領,-2.41,由百貨公司跨足至營建之業者,百貨業,17.54,39.1
2911,麗嬰房,-2.74,台灣嬰幼童服飾第一大品牌,嬰童用品,10.51,5.2
2912,統一超,-1.94,經營7-11為台灣超商龍頭，隸屬統一集團,便利商店,103.96,2365.1
2913,農林,0.44,台灣茶葉產製銷一條龍企業,貿易,79,79.9
2915,潤泰全,0.92,潤泰集團旗下，經營紡織貿易、零售事業之控股公司,貿易,110.43,482
2929,淘帝-KY,-0.18,為中國大陸童裝前十大品牌廠,嬰童用品,10.95,6
2939,永邑-KY,0.41,生活應用產品開發供應商,貿易,4.55,11.3
2945,三商家購,-0.6,三商旗下社區型連鎖超市業者,連鎖超市,6.75,27.8
